City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Aswan,Meshra Katto,Ida,Denmark,1 night   ,November 2024,Couple,Triple Room with Sea View,"November 9, 2024",meshra kato wonderful people working made trip elaphantine island aswan absolutely unforgettable definitely come back tell friends visit place egypt food amazing view beautiful way around,loved everything nothing add,I loved everything. Nothing to add here.,"Meshra Kato and all the wonderful people working there made the trip to Elaphantine Island, Aswan, absolutely unforgettable. I will definitely come back and tell all my friends to visit this place when in Egypt. Food is amazing and the view is beautiful. 10/10 all way around.",-1,"['place egypt food', 'unforgettable definitely come', 'aswan', 'meshra kato', 'elaphantine island']",[],['food'],[]
Hurghada,Lamera Hotel,Zichao,China,2 nights   ,March 2024,Group,Large Double Room,"March 13, 2024",hotel great location city center also fish market nearby eat delicious seafood foot hotel prices low excessive requirements facilities equipment,although price low still necessary pay attention hygiene door bed dirty hair obvious dirt quilt makes uncomfortable sound insulation poor traffic gate noisy,"Although the price is low, it is still necessary to pay attention to hygiene. In the door, the bed is dirty, and the hair. There is obvious dirt on the quilt, which makes it uncomfortable. The sound insulation is poor and the traffic at the gate is very noisy.","The hotel has a great location in the city center. There is also a fish market nearby, and you can eat delicious seafood on foot. Hotel prices are very low, and there are no excessive requirements for facilities and equipment.",-1,"['eat delicious seafood', 'facilities equipment', 'prices low', 'city center', 'foot hotel']","['price low necessary', 'quilt makes uncomfortable', 'traffic gate', 'sound insulation', 'bed dirty']",['hotel'],"['bed', 'dirty', 'price']"
Hurghada,Serenity Alpha Beach Ex Serenity Makadi Beach,Eurico,Portugal,4 nights   ,October 2024,Family,Superior Room Garden View,"November 16, 2024",good quality price balance good aesthetic taste especially outdoors beige wooden items beach beautiful cared gardens excellent bed room dimentions great quality diversity food coffee lovers espresso machine people offering services beach respectful bother much good number large pools wide range restaurants great diversity activities available coral reef close hotel beach nice helpful staff,walk sea like normal beaches always enter wooden walkway go stairs expecting maybe explained ahead quality diversity products breakfast boxes pour pay good breakfast lose lot skip early flights offered upgrade gave access restaurants managed make reservation speaking sara guest relation supervisor online reservations always book full regardless restaurant choice,"We cannot just walk into the sea like in normal beaches. We always had to enter it through a wooden walkway and then go down some stairs. Was not expecting that. Maybe this should be explained ahead.
Quality and diversity of products in breakfast boxes pour. We pay for a good breakfast and we lose a lot by having to skip it because of early flights.
They offered an upgrade, which gave access to more restaurants, but we only managed to make a reservation after speaking to Sara (guest relation supervisor). Online reservations were always book full regardless of our restaurant choice (there were 5).","Very good quality/price balance.
Good aesthetic taste, especially outdoors (beige and wooden items on the beach, beautiful and cared for gardens. Excellent bed and room dimentions.
Great quality and diversity of food. For coffee lovers, there is an espresso machine. People offering services on the beach were very respectful and did not bother much. Good number of large pools. Wide range of restaurants. Great diversity of activities available. Coral reef very close to the hotel´s beach. Very nice and helpful staff.",-1,"['close hotel', 'gardens excellent bed', 'restaurants great diversity', 'beach', 'good quality price']","['beaches enter', 'wooden walkway stairs', 'online reservations book', 'boxes pour', 'products breakfast']","['beach', 'hotel']",['breakfast']
Hurghada,Zen Resort Sahl Hasheesh TBH Hotels,Thorsten,Germany,13 nights   ,October 2024,Couple,Deluxe Double Room with Sea View,"October 28, 2024",hotel really nice employees friendly everything clean restaurant get soup salad main course dessert want breakfast really nice big number different food buffet beach transport takes beach beach stony beginning go deeper water fine also pool nice,restaurant different main courses lunch dinner meat fish ideally vegetarian also use less spices food example pizza takes sometimes time get food miss course lot people eat remember get,The restaurant has only 5 or 6 different main courses for lunch and dinner. All of them are with meat or fish. Not ideally for vegetarian. Also they use less spices for some of the food. For example the pizza. It takes sometimes time until you get your food or they miss a course when a lot of people are there to eat. When you remember them you get it.,"The hotel was really nice. The Employees was friendly and everything was clean. In the restaurant you get a soup, salad, a main course and a dessert if you want. The breakfast is really nice and has a big number of different food and it is a buffet. For the beach there is a transport which takes you to the beach. The beach is stony at the beginning but when you go deeper into the water it is fine. Also the pool is nice.",-1,"['dessert want breakfast', 'pool nice', 'really nice employees', 'transport takes beach', 'different food buffet']","['food miss', 'fish ideally vegetarian', 'different main courses', 'lot people eat', 'pizza takes time']","['beach', 'food', 'breakfast', 'pool']",['food']
Aswan,Citymax Hotel Aswan,Puja,United Kingdom,2 nights   ,September 2023,Couple,Superior Double Room,"September 29, 2023",got free upgrade,great value money,Not that great value for money,Got a free upgrade,-1,"['got', 'free', 'upgrade', 'got free', 'free upgrade']","['great', 'value', 'money', 'value money', 'great value']",[],[]
Sharm El Sheikh,Xperience Kiroseiz Parkland,Taohid,United Kingdom,1 night   ,May 2023,Couple,Special Offer- Standard Room- Egyptians and Residents Only,"May 7, 2023",staff friendly helpful location also good,negative feedback,No Negative Feedback,"staff were very friendly and helpful, location was also good",1,"['good', 'location', 'friendly', 'helpful location', 'staff']",[],"['location', 'staff']",[]
Aswan,Basma Hotel Aswan,Woodrow,Hong Kong,2 nights   ,December 2023,Solo traveler,Deluxe Double or Twin Room with City View,"December 27, 2023",nice breakfast great staff good environment balcony city view,room bit old,Room a bit old.,Nice breakfast. Great staff. Good environment. Balcony with city view.,-1,"['environment', 'city', 'view', 'staff good', 'breakfast great']","['bit', 'bit old', 'old', 'room', 'room bit old']","['breakfast', 'view', 'staff']","['room', 'old']"
Hurghada,Grand Resort,Jinyoung,South Korea,1 night   ,December 2024,Couple,Deluxe Room,"December 23, 2024",atmosphere good staff friendly,buffet limited variety food good,The buffet had limited variety and the food was not good.,The atmosphere is good and all the staff are friendly.,-1,"['atmosphere', 'good', 'staff', 'friendly', 'good staff friendly']","['good', 'limited', 'variety', 'food', 'buffet']",['staff'],['food']
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Виша,Egypt,2 nights   ,Nov-24,Group,Family Room,"November 8, 2024",big beautiful private territory peaceful,negative feedback,No Negative Feedback,"Big beautiful private territory, very peaceful",1,"['big', 'private', 'beautiful', 'territory', 'territory peaceful']",[],[],[]
Luxor,Malkata House Boutique hotel restaurant,Dorottya,Hungary,2 nights   ,Oct-24,Group,Two-Bedroom Apartment,"October 13, 2024",recommended place authentic hotel friendly polite host ahmed flexible arrival always responded inquiries special thanks,negative feedback,No Negative Feedback,"Recommended place. Authentic hotel with friendly and polite host, Ahmed.
He was flexible with our arrival and always responded to our inquiries. Special thanks to him.",1,"['thanks', 'flexible', 'arrival responded inquiries', 'ahmed', 'authentic hotel']",[],['hotel'],[]
Hurghada,Pickalbatros White Beach Resort Hurghada,Osama,Egypt,2 nights   ,January 2025,Group,Special Offer - Deluxe Double Room - Egyptians and Residents Only,"January 31, 2025",good,negative feedback,No Negative Feedback,Good,1,[],[],[],[]
Luxor,Elphardous Oasis Hotel,Agata,Portugal,1 night   ,Nov-24,Couple,Double or Twin Room,"November 20, 2024",piscina todos os funcion rios que n os respons veis pelo hotel simp ticos e emp ticos fora resto gerente sem sem empatia sem responsabilidade mentiroso e al disso tenta extorquir dinheiro sempre que tem uma porto idade,primeiramente fiz um pedido de check antecipado uma vez que chegamos bastante cedo em luxor antecipadamente foi nos cedido na noite de para meu anivers rio fiz novamente um pedido para sair duas horas mais tarde mesmo que fosse cobrado foi cedido sem qualquer pre dia seguinte mandaram sair da piscina depois de terem dito que sim na noite anterior al disto pedi ajuda ao gerente para que arranjara se contacto de um motorista par levar alguns locais combinado eram libras eg pcias por kms pre muito acima da dia que se pratica local mas tudo bem entretanto na hora de cobrar j eram libras eg pcias exactamente pelos menos kms que errado na noite de dia meu anivers rio como referi tantas vezes hotel para todos os funcion rios gerente mandou v rias mensagens em anexo e fez sair quarto quanto j estava deitada para ir pagar hotel e transfer uma vez que disse mais cedo que poderia pagar quando quisesse e na altura eu quis pagar na hora e ele n quis que completamente inadmiss vel retirar um cliente dia de anivers rio da cama quando cheguei recep primeira coisa que disse foi que n se fazia isto dia de anos de uma pessoa muito menos de um cliente uma falta de respeito onde disse que dia seguinte n teria quina de multibanco e que motorista estava l fora espera mentira fui l fora e n estava carro era gerente ele pediu um rapaz de rua para fazer os meus culos de sol ficaram dentro carro e n devolveram que roubo recusei pagar mais libras eg pcias pq n tinha sido que combinamos al de tudo isto durante noite bateram na porta quarto da manha e novamente da manh minha companheira ficou extremamente preocupada com medo que abrissem porta ou algo acontecesse uma vez que somos duas mulheres num pa rabe e minha segunda vez egito,"First, I made a check in anticipated as we arrived quite early in Luxor! Advance! It was given to us.
On the night of 19 to 20 on my birthday I again made a request to leave two hours later even if it was charged. It was ceded me without any price. The next day 11:30 told me to leave the pool after they said yes the night before!
In addition, I asked the manager for help to get me a driver's contact to take me to some places. The agreed was 1300 Egyptian pounds for 20kms price far above average in what is practiced on site. But everything is fine. However, at the time of charging there were already 1500 Egyptian pounds exactly at least 20kms. What is wrong! On the night of the 19th birthday as I mentioned so many times at the hotel for all employees the manager sent me several attached messages and made me out of the room as I was lying to pay the hotel and the transfer since I told me earlier that I could pay when I wanted and at the time I wanted to pay on time and he didn't want to! What is completely inadmissible to remove a customer on the birthday of the bed!
When I arrived at the reception the first thing I said was that this was not done on the day of a person much less than a client is a lack of respect. Where he told me that the next day there would be no ATM machine and that the driver was out there waiting! Lie I went out and wasn't! The car was from the manager he asked a street boy to do so. My sunglasses were in the car and they didn't give me back what is theft! I refused to pay for another 200 Egyptian pounds because it had not been what we agreed. In addition to all this, at night they knocked on the bedroom door at 3:30 in the morning and again at 5:30 in the morning! My mate was extremely worried about fear that they opened the door or something happened since we are two women in an Arab country! And my second time in Egypt!","The pool! 
All employees who are not responsible for the hotel are friendly and empathic! 
Apart from the rest the manager is clueless! No empathy without a liar responsibility and besides trying to extort money whenever you have an old port!",-1,"['liar responsibility', 'old port', 'friendly empathic', 'hotel', 'manager clueless']","['customer birthday bed', 'told leave pool', 'second time egypt', 'hours later charged', 'client lack respect']",['hotel'],"['pool', 'bed']"
Sharm El Sheikh,Sunrise Arabian Beach Resort,Piercarloromeo,Italy,7 nights   ,November 2024,Family,Junior Suite,"November 24, 2024",posh club experience great thanks moustafa,negative feedback,No Negative Feedback,The Posh Club experience was great. Thanks Moustafa.,1,"['experience', 'posh', 'great thanks', 'club', 'moustafa']",[],[],[]
Sharm El Sheikh,Reef Oasis Blue Bay Resort Spa,Vladislav,Russia,7 nights   ,February 2025,Family,Superior Double or Twin Room with Garden View,"February 10, 2025",eats location staff,need big little spoons main restaurant,Need more big and little spoons in the main restaurant,"All: Eats, location, staff",-1,"['eats', 'location', 'staff', 'location staff', 'eats location']","['need', 'main', 'big little', 'restaurant', 'spoons']","['location', 'staff']",['restaurant']
Aswan,Mango Guest House,Shuli,China,3 nights   ,August 2024,Group,Deluxe Double Room (2 Adults + 1 Child),"August 10, 2024",thing hotel pretty good location hotel famous restaurant king jamaica minutes go nice,breakfast better,The breakfast can be better.,All the thing in the hotel is pretty good.And the location of the hotel from the famous restaurant King Jamaica is only 3 minutes to go.it’s very nice.,-1,"['minutes', 'king', 'pretty good', 'jamaica', 'location hotel']",[],"['location', 'hotel']",[]
Luxor,Malkata House Boutique hotel restaurant,Steve,Canada,2 nights   ,Feb-25,Family,Superior Suite,"February 11, 2025",liked friendliness helpfulness staff cleanliness comfy bed view,neighbours barking dogs problem first night improved second night,"The neighbours barking dogs were a problem our first night, but it improved the second night.","Liked the friendliness and helpfulness of the staff, the cleanliness, the comfy bed and the view.",-1,"['view', 'staff', 'cleanliness', 'liked friendliness', 'comfy bed']","['problem', 'night', 'improved second', 'neighbours', 'barking dogs']","['view', 'staff']",[]
Hurghada,Pickalbatros White Beach Resort Hurghada,Reuben,Kenya,4 nights   ,January 2025,Family,Large Family Room,"January 3, 2025",excellent property new well done enjoyed stay,none,None.,Excellent property. New and well done. We enjoyed our stay.,-1,"['new', 'property', 'stay', 'excellent', 'enjoyed stay']",[],[],[]
Luxor,Full Moon House,Thomas,United Kingdom,1 night   ,Dec-23,Group,Two-Bedroom Apartment,"December 28, 2023",apartment vast assumed hotel lobby arrival living room staff really stood mahmoud fantastic went way beyond could expected property also really well located across nile main part luxor benefit plenty good eating places locally easy get boat across river,struggling find fault,I’m struggling to find fault.,"The apartment was vast. I assumed we were in the hotel lobby on arrival, but it was our living room. The staff are what really stood out - Mahmoud was fantastic and went way beyond what could be expected. The property is also really well located - its across the Nile from the main part of Luxor, but this is to its benefit. There are plenty of good eating places locally, and its easy to get a boat across the river.",-1,"['stood mahmoud', 'lobby arrival', 'really located nile', 'living room', 'main luxor benefit']",[],"['nile', 'room']",[]
Luxor,Happy Land Luxor,Sydo,Netherlands,2 nights   ,Feb-23,Solo traveler,Bed in 4-Bed Mixed Dormitory Room (Foreigners only),"February 5, 2023",comfy beds rooftop nice place relax,bathrooms small toilet basically located shower breakfast included impressed variety taste staff kind unable understand english,The bathrooms are very small; the toilet is basically located under the shower. Breakfast is included but I was not impressed by the variety or the taste. The staff is kind but most of them are unable to understand English.,Comfy beds! And the rooftop is a nice place to relax.,-1,"['place', 'nice', 'relax', 'beds', 'rooftop']","['unable understand english', 'variety taste', 'staff', 'shower', 'toilet basically located']",[],"['shower', 'staff']"
Sharm El Sheikh,Pickalbatros Royal Grand Sharm Adults Friendly Years Plus,Romesh,United States,5 nights   ,January 2025,Couple,Superior Double or Twin Room,"January 1, 2025",hotel exceptionally grand every way clean hotel garden swimming pools quality food excellent caters many pallets many restaurants bars waiters hotel staff polite always help mustafa mosin cleaned tidied room well always smile keeps nice little touches room decorate bed tiny flowers every time enter room smile waiters polite always help thank pucalbatros making birthday week memorable one,even think,Can’t even think of any,"The hotel is exceptionally grand in every way… very clean through out the hotel and garden and swimming pools. Quality of food is excellent caters many pallets, it has many restaurants and bars. Waiters and hotel staff are very polite and always there to help. 
Mustafa Mosin cleaned and tidied our room so well and always with a smile… he keeps nice little touches in the room - decorate the bed with tiny flowers.. and every time I enter the room I smile!! 
All the waiters are very polite and always there to help you…. Thank you Pucalbatros for making my birthday week a memorable one 👍🏼",-1,"['room decorate', 'quality food excellent', 'hotel garden swimming', 'bars waiters', 'staff polite']",[],"['food', 'hotel', 'room', 'staff']",[]
Aswan,Philae Hotel Aswan,Stefano,Italy,3 nights   ,January 2023,Family,Deluxe Double or Twin Room with City View,"January 19, 2023",one rooms quite big comfortable staff nice breakfast good complete,wifi working hall one rooms little toilet flush properly,The wifi was working only in the hall. One of the rooms was very little and the toilet did not flush properly.,One of the rooms was quite big and comfortable. The staff was nice and the breakfast was very good and complete.,-1,"['big', 'complete', 'staff nice', 'breakfast good', 'rooms']","['did', 'flush properly', 'little', 'wifi', 'hall rooms']","['breakfast', 'staff']",['wifi']
Luxor,Nefertiti Hotel Luxor,David,United Kingdom,2 nights   ,February 2025,Solo traveler,Single Room,"February 3, 2025",central,negative feedback,No Negative Feedback,Central,1,[],[],[],[]
Luxor,Lotus Luxor Hotel,Badr,Egypt,1 night   ,January 2025,Group,Standard Twin Room Nile View,"January 18, 2025",hotel nice personal work nice,everything parfect,Everything parfect,Hotel very nice all personal work there very nice,-1,"['work', 'personal', 'nice', 'hotel', 'hotel nice']",[],['hotel'],[]
Sharm El Sheikh,Renaissance Sharm El Sheikh Golden View Beach Resort,Mohamed,Egypt,2 nights   ,June 2023,Family,"Premium Sea View Room, Guest room, Sea view, 1 King","June 26, 2023",clean food perfect,rocky beach,Only they have rocky beach,It was very clean and food was perfect,-1,"['perfect', 'food', 'clean', 'clean food', 'food perfect']",[],"['food', 'clean']",[]
Aswan,ASWAN NILE PALACE swimming pool rooftop Nile view,Yu,Denmark,1 night   ,April 2024,Group,Deluxe King Room,"April 2, 2024",clean staffs nice best view room,book transfer difficult find,"If you don't book a transfer, it will be difficult to find it","It was clean and staffs were nice
Best was the view of the room",-1,"['best', 'view', 'clean', 'staffs', 'room']","['don', 'book', 'difficult', 'transfer', 'transfer difficult']","['clean', 'room', 'view']",[]
Hurghada,KaiSol Romance Resort Sahl Hasheesh Adults,Dominiek,Netherlands,6 nights   ,January 2025,Solo traveler,Superior Room,"February 5, 2025",hotel looks amazing food every night different always good excellent staff helpfull,negative feedback,No Negative Feedback,"Hotel looks amazing. Food was every night different and always good. Excellent staff, very helpfull.",1,"['helpfull', 'different', 'food', 'night', 'hotel looks amazing']",[],"['food', 'hotel']",[]
Aswan,Artika Wadi Kiki Hotel,Michael,New Zealand,1 night   ,March 2024,Couple,Deluxe King Room,"March 4, 2024",beautiful setting overlooking nile colourful nubian village lovely staff great food clean basic accommodation experience wonderful,negative feedback,No Negative Feedback,"Beautiful setting overlooking the Nile, in a colourful Nubian village. Lovely staff and great food. Clean, basic accommodation, the experience was wonderful.",1,"['great food', 'accommodation', 'staff great', 'nile', 'nubian village']",[],"['nile', 'food', 'staff']",[]
Hurghada,Pickalbatros Aqua Park Resort Hurghada,Amr,Egypt,3 nights   ,October 2024,Family,Special Offer - Standard Double Room - Egyptians and Residents Only,"October 7, 2024",aqua,food,Food,Aqua,-1,[],[],[],[]
Sharm El Sheikh,Verginia Sharm Resort Aqua Park,Travel,Egypt,1 night   ,April 2024,Solo traveler,Economy Single Room,"April 12, 2024",excellent service helpful staff,negative feedback,No Negative Feedback,Excellent service 👌 and helpful staff,1,"['helpful', 'excellent', 'service', 'staff', 'excellent service']",[],"['staff', 'service']",[]
Hurghada,Beach Albatros Aqua Park Hurghada,Eslam,Belgium,7 nights   ,October 2024,Family,Deluxe Double Room,"October 7, 2024",staff work helpful kind people always smile starting reception room service rabie abdo people work restaurants give clean service food delicious excellent vacation,negative feedback,No Negative Feedback,"The staff who work there are very helpful, so kind people , always smile, starting from the reception and room service ( Rabie Abdo ) people who work in restaurants give you clean service , The food was very delicious, it was excellent vacation 👍",1,"['vacation', 'food delicious', 'kind people', 'service rabie abdo', 'starting reception room']",[],"['reception', 'food', 'room', 'service']",[]
Luxor,Eyaru Palace Nile View,Mels,Netherlands,3 nights   ,February 2025,Couple,Double Room with Sea View,"February 8, 2025",staff extremely friendly helpful location view nile amazing breakfast included good room comfortable wifi set hotel staff worked nicely,hotel recently opened still points improvement blinds let lot light opening door let light difficult make room completely dark someone open gate everytime get back hotel limited parking hotel properly park outside gate somewhat difficult find hotel due lack signs google maps yet staff knows points proactive trying improve hotel confident promising hotel better better every guest,"Because the hotel recently opened it still has some points of improvement;
- The blinds let through a lot of light, and there is an opening above the door that let's through light so it's very difficult to make the room completely dark.
- Someone has to open the gate everytime you get back to the hotel, and because there is limited parking on the hotel properly you'll have to park outside of the gate
- It is somewhat difficult to find the hotel due to a lack of signs, and it is not on Google Maps yet.

The staff knows about these points and are very proactive in trying to improve the hotel, so I'm confident that this promising hotel will be better and better with every guest.","The staff is extremely friendly and helpful, and the location with the view on the Nile is amazing. Breakfast was included and very good, and the room was comfortable. Once the WiFi was set up by the hotel staff it worked nicely.",-1,"['staff worked', 'breakfast included good', 'nile amazing', 'extremely friendly', 'wifi set hotel']","['improvement blinds let', 'recently opened', 'everytime hotel limited', 'hotel lack signs', 'hotel better better']","['nile', 'breakfast', 'hotel', 'staff']",['hotel']
Luxor,Winter apartment,Amelia,United States,1 night   ,Jan-25,Couple,Apartment - Ground Floor,"February 15, 2025",exceptional value highly recommend people seeking authentic stay luxor,negative feedback,No Negative Feedback,Exceptional value - highly recommend for people seeking a more authentic stay in Luxor!,1,"['seeking', 'value', 'recommend people', 'authentic stay', 'luxor']",[],[],[]
Sharm El Sheikh,Reef Oasis Beach Aqua Park Resort,Agnes,United Kingdom,4 nights   ,December 2024,Couple,Sea View Room,"December 5, 2024",location,rooms mot refurbished bed really comfortable massive queues food eggs meet pasta also much choice delicious entertainment different locations,"Rooms mot refurbished, bed not really comfortable, massive queues for food ( eggs, meet or pasta) also not much choice but very delicious. Entertainment in few different locations.",Location,-1,[],"['eggs meet pasta', 'mot refurbished', 'massive queues', 'bed really comfortable', 'entertainment different locations']",[],['bed']
Luxor,Rezeiky Hotel Camp,Mina,Egypt,2 nights   ,Mar-24,Solo traveler,King Room with Pool View,"April 13, 2024",good view,location nearly center city furniture old,Location isn't nearly to center of city and furniture is old.,Good view.,-1,[],"['center', 'isn nearly', 'city', 'location isn', 'furniture old']",[],"['location', 'old']"
Sharm El Sheikh,Sinai Old Spices B B,Κωνσταντίνα,Greece,1 night   ,January 2023,Family,Superior Villa,"January 9, 2023",nice people helpful back sur,negative feedback,No Negative Feedback,"So nice people and so helpful... We will be back, for sur",1,"['helpful', 'people', 'nice', 'sur', 'nice people']",[],[],[]
Hurghada,Ancient Sands Golf Resort Residences,Shahira,Saudi Arabia,3 nights   ,May 2023,Family,Suite -Twin beds,"May 16, 2023",design hotel excellent hospitality,rooms big clean pools around place,"the rooms are big and clean
pools all around the place",the design of the hotel and excellent hospitality,-1,"['excellent', 'design', 'hospitality', 'hotel', 'hotel excellent']","['big', 'place', 'clean', 'pools', 'rooms big clean']",['hotel'],['clean']
Luxor,Aracan Eatabe Luxor Hotel,Liang,United Kingdom,1 night   ,Dec-24,Couple,Superior Double Room,"December 13, 2024",id like thank beautiful desk office check kind nice given us beautiful neil view room watch bloon departure far valley early morning view shocking unfortunately lost paper written name airport also police officer nice say hi every meeting keeps ferrari away feel safe hotel thats probably place trust relex luxor,could somebody help internet system wifi signal weak floor,"could somebody help the internet system, WiFi signal is weak in my floor","id like to thank a very beautiful desk office when we check in, she is so kind and nice ,and given us a beautiful Neil view room, we can watch the bloon departure from far valley in the early morning, the view is shocking, unfortunately I lost the paper written her name in airport :(

also there is a police officer who is very very nice,we say Hi for every meeting, he keeps ""Ferrari"" away and I feel so safe in hotel, and thats is probably the only place I can trust and relex in Luxor",-1,"['like thank beautiful', 'airport police officer', 'thank beautiful desk', 'trust relex luxor', 'hotel thats probably']","['somebody', 'help', 'floor', 'signal weak', 'wifi']",['hotel'],['wifi']
Aswan,Hapi Hotel,Carolina,Mexico,1 night   ,August 2023,Solo traveler,Superior Double or Twin Room,"November 22, 2023",place bit old structure walls old ok one night passing staff really friendly,old building,Old building,"Place is a bit old, the structure and walls are old, but its ok for a one night if you are just passing by. Staff was really friendly",-1,"['bit old', 'staff really', 'structure walls', 'night', 'really friendly']",[],['staff'],[]
Luxor,Rezeiky Hotel Camp,Md,Finland,2 nights   ,Jan-24,Couple,Deluxe Twin Room Pool & Garden View,"February 13, 2024",place like egypt tour place gem near karnak temple small garden type yard ehre took sunbath quite noons isue toilet changed us bigger better room breakfast super head breakfast wise gentleman willdefinately visit,nothing know,Nothing that I know.,"The only place we like most in our Egypt tour. This place is a gem. It's very near to Karnak temple. It has it's own small garden type yard ehre we took sunbath on quite noons. We had some isue with our toilet, they changed us to a bigger and better room. 
Breakfast was super. Head of the breakfast was a very wise gentleman. I willdefinately visit there again.",-1,"['willdefinately visit', 'better room breakfast', 'gem near karnak', 'took sunbath', 'egypt']",[],"['breakfast', 'room']",[]
Aswan,Benben Dhara Hotels Adults,Hayk,Armenia,2 nights   ,May 2024,Couple,Superior Double Room,"May 11, 2024",unique hotel unique luxury experience,shower area needed bit blocking closing water reaching door almost also would amazing hotel front desk keeps change need exchange money make smaller island place go,"The shower area needed a bit of blocking/closing. The water was reaching the door almost. 
Also would be amazing if the hotel front desk keeps change (if you need to exchange money or make it smaller) as it is an island and you have no other place to go.",Unique hotel for unique luxury experience.,-1,"['experience', 'unique', 'luxury', 'hotel', 'hotel unique']","['change need exchange', 'reaching door', 'make smaller island', 'blocking closing water', 'amazing hotel']",['hotel'],['hotel']
Luxor,LUXOR Nile Apartments,Brian,Canada,4 nights   ,Oct-23,Solo traveler,Apartment with Shower,"October 24, 2023",property beautiful apartments spacious stunning views across nile also easier access tombs sites without cross river morning comfortable stay,west bank much going done seeing sites,The West Bank doesn’t have as much going on once you’re done seeing the sites.,"Property was beautiful, the apartments were so spacious and had stunning views across the Nile. Also easier access to all the tombs and sites without having to cross the river each morning. A very comfortable stay.",-1,"['having cross river', 'access tombs sites', 'morning comfortable stay', 'nile', 'apartments spacious']","['doesn', 'bank', 'going seeing', 'sites', 'west']",['nile'],[]
Aswan,Citymax Hotel Aswan,Ale,Guatemala,1 night   ,November 2023,Family,Executive Suite,"February 3, 2024",location view nile,bfast could improved,Bfast could be improved,the location with view of the Nile.,-1,"['view', 'location view', 'location', 'nile', 'view nile']",[],"['nile', 'location', 'view']",[]
Aswan,La Terrace,Thyago,Brazil,2 nights   ,February 2024,Couple,Deluxe Double or Twin Room with River View,"February 16, 2024",mohammed owner manager amazing hostess takes personally care stay wellness,nothing,Nothing,"Mohammed, the owner and manager, is an amazing hostess. He takes personally care about your stay and wellness",1,"['stay', 'wellness', 'takes personally', 'mohammed', 'manager amazing hostess']",[],[],[]
Sharm El Sheikh,Sunrise Diamond Beach Resort Grand Select,Yoseuf,Saudi Arabia,5 nights   ,November 2024,Couple,Diamond Pool Suite- Posh Club,"November 14, 2024",thanks reception team,negative feedback,No Negative Feedback,Thanks to reception team,1,"['team', 'thanks', 'reception', 'thanks reception', 'reception team']",[],['reception'],[]
Sharm El Sheikh,Pickalbatros Royal Moderna Sharm Aqua Park,Eslam,United Kingdom,7 nights   ,December 2024,Family,Deluxe Double or Twin Room with Garden View,"December 8, 2024",everything great food facilities cleanliness activities big thanks louka reception offered us complementary late checkout pm families transportation evening welcomed resort facilities hamada room service great big thanks everyone,negative feedback,No Negative Feedback,"Everything was great. Food, facilities, cleanliness, and activities.
Big thanks to Louka in reception, he offered us a complementary late checkout ( 5pm) as our families transportation wasn't until evening, and we were welcomed in all resort facilities.

Hamada in room service was great. Big thanks to everyone.",1,"['great food', 'facilities cleanliness', 'checkout 5pm families', 'resort', 'thanks louka']",[],['food'],[]
Aswan,Philae Hotel Aswan,Georgios,Greece,3 nights   ,November 2024,Solo traveler,Deluxe Double or Twin Room with River View,"November 30, 2024",great location balcony view nile afternoon especially felucas sight watch room ok really clean could say old bteakfast box prepare abu simbel nice touch friendly helpful stuff hotel front busy street nut issue sleep second floor great price,main issue internet wifi inside rooms think need consider fixing thus issue number one complaint internet lobby non existence elevator could issue older people,"The main issue is the internet, no wifi inside the rooms. I think they need to consider fixing thus issue because is there number one complaint. Internet only in the lobby.
The non existence of elevator could be an issue for older people.","Great Location, I had a balcony with view of the Nile and in the afternoon especially the felucas is a sight to watch! The room was ok, really clean, I could not say it was so old . The bteakfast box they prepare for abu simbel is a nice touch Friendly and helpful stuff. 
The hotel is in front of a busy street, nut had no issue to sleep and a was in the second floor
Great price",-1,"['great price', 'view nile', 'room ok really', 'abu simbel', 'hotel busy street']","['wifi', 'consider fixing issue', 'older people', 'lobby non existence', 'elevator']","['nile', 'hotel', 'room', 'view']",['wifi']
Aswan,Nuba Dool,Longjie,United Kingdom,3 nights   ,April 2024,Group,Standard Double or Twin Room with Sea View,"April 9, 2024",functional ac comfortable bed friendly staff,shower area toilet covered water flows,The shower area in the toilet is not covered so the water flows.,Functional AC. Comfortable bed. Friendly staff.,-1,"['functional', 'friendly', 'staff', 'ac', 'comfortable bed']","['area', 'covered', 'water flows', 'toilet', 'shower']",['staff'],['shower']
